4OR-A Quarterly Journal of Operations Research,管理科学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否,管理学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否
ELECTROMAGNETICS,工程技术 ,4区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;3区;3区;4区,否,否,工程技术 ,4区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;3区;3区;4区,否,否
Electronic Commerce Research and Applications,管理科学 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;1区;2区;3区;COMPUTER SCIENCE& INTERDISCIPLINARY APPLICATIONS;计算机：跨学科应用;1区;2区;3区,否,否,管理学 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;1区;2区;3区;COMPUTER SCIENCE& INTERDISCIPLINARY APPLICATIONS;计算机：跨学科应用;1区;2区;3区,否,否
ELECTRONIC COMMUNICATIONS IN PROBABILITY,数学 ,4区,STATISTICS & PROBABILITY;统计学与概率论;3区;2区;4区,否,否,数学 ,4区,STATISTICS & PROBABILITY;统计学与概率论;3区;2区;4区,否,否
ELECTRONIC JOURNAL OF BIOTECHNOLOGY,工程技术 ,3区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;2区;2区;4区,否,否,工程技术 ,4区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;2区;2区;4区,否,否
ELECTRONIC JOURNAL OF COMBINATORICS,数学 ,4区,MATHEMATICS;数学;4区;2区;4区;MATHEMATICS& APPLIED;应用数学;1区;4区;4区,否,否,数学 ,4区,MATHEMATICS;数学;4区;2区;4区;MATHEMATICS& APPLIED;应用数学;1区;4区;4区,否,否
Electronic Journal of Linear Algebra,数学 ,4区,MATHEMATICS;数学;3区;4区;4区,否,否,数学 ,4区,MATHEMATICS;数学;3区;4区;4区,否,否
ELECTRONIC JOURNAL OF PROBABILITY,数学 ,3区,STATISTICS & PROBABILITY;统计学与概率论;3区;1区;4区,否,否,数学 ,4区,STATISTICS & PROBABILITY;统计学与概率论;3区;1区;4区,否,否
Electronic Journal of Qualitative Theory of Differential Equations,数学 ,3区,MATHEMATICS;数学;3区;3区;3区;MATHEMATICS& APPLIED;应用数学;2区;2区;4区,否,否,数学 ,4区,MATHEMATICS;数学;3区;3区;3区;MATHEMATICS& APPLIED;应用数学;2区;2区;4区,否,否
Electronic Materials Letters,工程技术 ,3区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;3区;4区;4区,否,否,材料科学 ,4区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;3区;4区;4区,否,否
Electronic Research Announcements in Mathematical Sciences,数学 ,4区,MATHEMATICS;数学;3区;3区;4区,否,否,数学 ,4区,MATHEMATICS;数学;3区;3区;4区,否,否
ELECTRONIC TRANSACTIONS ON NUMERICAL ANALYSIS,数学 ,3区,MATHEMATICS& APPLIED;应用数学;3区;1区;3区,否,否,数学 ,3区,MATHEMATICS& APPLIED;应用数学;3区;1区;3区,否,否
Electronics and Communications in Japan,工程技术 ,4区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;2区;3区;4区,否,否,工程技术 ,4区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;2区;3区;4区,否,否
ELECTRONICS LETTERS,工程技术 ,4区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;1区;4区;4区,否,否,工程技术 ,4区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;1区;4区;4区,否,否
ELECTRONICS WORLD,该期刊已被SCI剔除，相关阅读：这些期刊已被SCI剔除！投稿需谨慎！,
ELECTROPHORESIS,生物 ,3区,BIOCHEMICAL RESEARCH METHODS;生化研究方法;4区;3区;3区;CHEMISTRY& ANALYTICAL;分析化学;2区;1区;3区,否,否,生物学 ,3区,BIOCHEMICAL RESEARCH METHODS;生化研究方法;4区;3区;3区;CHEMISTRY& ANALYTICAL;分析化学;2区;1区;3区,否,否
Elektronika Ir Elektrotechnika,工程技术 ,4区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;3区;2区;4区,否,否,工程技术 ,4区,ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;3区;2区;4区,否,否
,
Elements,地学 ,2区,GEOCHEMISTRY & GEOPHYSICS;地球化学与地球物理;4区;1区;2区;MINERALOGY;矿物学;1区;1区;1区,是,否,地球科学 ,1区,GEOCHEMISTRY & GEOPHYSICS;地球化学与地球物理;4区;1区;2区;MINERALOGY;矿物学;1区;1区;1区,是,否
EMBO JOURNAL,生物 ,1区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;4区;1区;1区;CELL BIOLOGY;细胞生物学;4区;4区;2区,是,否,生物学 ,1区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;4区;1区;1区;CELL BIOLOGY;细胞生物学;4区;4区;2区,是,否
EMBO Molecular Medicine,医学 ,1区,MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;4区;4区;1区,是,否,医学 ,1区,MEDICINE& RESEARCH & EXPERIMENTAL;医学：研究与实验;4区;4区;1区,是,否
EMBO REPORTS,生物 ,1区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;1区;4区;2区;CELL BIOLOGY;细胞生物学;2区;2区;2区,是,否,生物学 ,1区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;1区;4区;2区;CELL BIOLOGY;细胞生物学;2区;2区;2区,是,否
Emergency Medicine Australasia,医学 ,4区,EMERGENCY MEDICINE;急救医学;2区;2区;4区,否,否,医学 ,4区,EMERGENCY MEDICINE;急救医学;2区;2区;4区,否,否
EMERGENCY MEDICINE CLINICS OF NORTH AMERICA,医学 ,4区,EMERGENCY MEDICINE;急救医学;3区;4区;3区,否,否,医学 ,4区,EMERGENCY MEDICINE;急救医学;3区;4区;3区,否,否
EMERGENCY MEDICINE JOURNAL,医学 ,4区,EMERGENCY MEDICINE;急救医学;4区;4区;3区,否,否,医学 ,3区,EMERGENCY MEDICINE;急救医学;4区;4区;3区,否,否
EMERGING INFECTIOUS DISEASES,医学 ,1区,IMMUNOLOGY;免疫学;4区;2区;2区;INFECTIOUS DISEASES;传染病学;4区;3区;1区,是,否,医学 ,1区,IMMUNOLOGY;免疫学;4区;2区;2区;INFECTIOUS DISEASES;传染病学;4区;3区;1区,是,否
Engineering Management Journal,管理科学 ,4区,ENGINEERING& INDUSTRIAL;工程：工业;3区;4区;4区,否,否,管理学 ,4区,ENGINEERING& INDUSTRIAL;工程：工业;3区;4区;4区,否,否
EMPIRICAL SOFTWARE ENGINEERING,工程技术 ,2区,COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;1区;1区;2区,否,否,计算机科学 ,1区,COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;1区;1区;2区,是,否
Emu-Austral Ornithology,生物 ,4区,ORNITHOLOGY;鸟类学;1区;3区;3区,否,否,生物学 ,4区,ORNITHOLOGY;鸟类学;1区;3区;3区,否,否
ENCEPHALE-REVUE DE PSYCHIATRIE CLINIQUE BIOLOGIQUE ET THERAPEUTIQUE,医学 ,4区,NEUROSCIENCES;神经科学;2区;1区;4区;PSYCHIATRY;精神病学;3区;2区;4区,否,否,医学 ,4区,NEUROSCIENCES;神经科学;2区;1区;4区;PSYCHIATRY;精神病学;3区;2区;4区,否,否
ENDEAVOUR,社会科学 ,4区,HISTORY & PHILOSOPHY OF SCIENCE;科学史与科学哲学;3区;3区;3区;MULTIDISCIPLINARY SCIENCES;综合性期刊;1区;3区;3区,否,否,人文科学 ,3区,HISTORY & PHILOSOPHY OF SCIENCE;科学史与科学哲学;3区;3区;3区;MULTIDISCIPLINARY SCIENCES;综合性期刊;1区;3区;3区,否,否
ENDOCRINE,医学 ,3区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;2区;1区;3区,否,否,医学 ,2区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;2区;1区;3区,否,否
ENDOCRINE JOURNAL,医学 ,4区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;1区;3区;4区,否,否,医学 ,4区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;1区;3区;4区,否,否
ENDOCRINE PATHOLOGY,医学 ,3区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;2区;1区;4区;PATHOLOGY;病理学;1区;4区;3区,否,否,医学 ,3区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;2区;1区;4区;PATHOLOGY;病理学;1区;4区;3区,否,否
Endocrine Practice,医学 ,3区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;4区;1区;3区,否,否,医学 ,3区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;4区;1区;3区,否,否
ENDOCRINE RESEARCH,医学 ,4区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;1区;4区;4区,否,否,医学 ,4区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;1区;4区;4区,否,否
ENDOCRINE REVIEWS,医学 ,1区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;1区;1区;1区,是,是,医学 ,1区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;1区;1区;1区,是,是
ENDOCRINE-RELATED CANCER,LetPub助力作者发表在《ENDOCR-RELAT CANCER》上的文章案例，致谢部分提及LetPub---2篇,医学 ,2区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;1区;2区;2区;ONCOLOGY;肿瘤学;1区;2区;2区,否,否,医学 ,2区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;1区;2区;2区;ONCOLOGY;肿瘤学;1区;2区;2区,否,否
ENDOCRINOLOGIST,
ENDOCRINOLOGY,医学 ,2区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;3区;3区;2区,是,否,医学 ,2区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;3区;3区;2区,是,否
ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA,医学 ,3区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;3区;4区;3区,否,否,医学 ,2区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;3区;4区;3区,否,否
Endokrynologia Polska,医学 ,4区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;3区;2区;4区,否,否,医学 ,4区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;3区;2区;4区,否,否
ENDOSCOPY,医学 ,2区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;4区;2区;2区;SURGERY;外科;2区;1区;1区,是,否,医学 ,1区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;4区;2区;2区;SURGERY;外科;2区;1区;1区,是,否
Endoskopie Heute,该期刊已被SCI剔除，相关阅读：这些期刊已被SCI剔除！投稿需谨慎！,
ENDOTHELIUM-JOURNAL OF ENDOTHELIAL CELL RESEARCH,
Energies,经LetPub修改润色后发表在《ENERGIES》上，作者来信感谢的范例---3篇,LetPub助力作者发表在《ENERGIES》上的文章案例，致谢部分提及LetPub---1篇,工程技术 ,3区,ENERGY & FUELS;能源与燃料;2区;4区;4区,否,否,工程技术 ,3区,ENERGY & FUELS;能源与燃料;2区;4区;4区,否,否
ENERGY,经LetPub修改润色后发表在《ENERGY》上，作者来信感谢的范例---2篇,LetPub助力作者发表在《ENERGY》上的文章案例，致谢部分提及LetPub---2篇,工程技术 ,2区,ENERGY & FUELS;能源与燃料;1区;4区;2区;THERMODYNAMICS;热力学;4区;2区;1区,是,否,工程技术 ,1区,ENERGY & FUELS;能源与燃料;1区;4区;2区;THERMODYNAMICS;热力学;4区;2区;1区,是,否
Energy & Environmental Science,工程技术 ,1区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;3区;2区;1区;ENERGY & FUELS;能源与燃料;2区;3区;1区;ENGINEERING& CHEMICAL;工程：化工;4区;4区;1区;ENVIRONMENTAL SCIENCES;环境科学;1区;2区;1区,是,否,材料科学 ,1区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;3区;2区;1区;ENERGY & FUELS;能源与燃料;2区;3区;1区;ENGINEERING& CHEMICAL;工程：化工;4区;4区;1区;ENVIRONMENTAL SCIENCES;环境科学;1区;2区;1区,是,否
ENERGY & FUELS,经LetPub修改润色后发表在《ENERG FUEL》上，作者来信感谢的范例---2篇,LetPub助力作者发表在《ENERG FUEL》上的文章案例，致谢部分提及LetPub---2篇,工程技术 ,2区,ENERGY & FUELS;能源与燃料;1区;1区;4区;ENGINEERING& CHEMICAL;工程：化工;3区;1区;3区,是,否,工程技术 ,3区,ENERGY & FUELS;能源与燃料;1区;1区;4区;ENGINEERING& CHEMICAL;工程：化工;3区;1区;3区,否,否
ENERGY AND BUILDINGS,工程技术 ,2区,CONSTRUCTION & BUILDING TECHNOLOGY;结构与建筑技术;1区;1区;1区;ENERGY & FUELS;能源与燃料;3区;2区;3区;ENGINEERING& CIVIL;工程：土木;1区;3区;1区,是,否,工程技术 ,2区,CONSTRUCTION & BUILDING TECHNOLOGY;结构与建筑技术;1区;1区;1区;ENERGY & FUELS;能源与燃料;3区;2区;3区;ENGINEERING& CIVIL;工程：土木;1区;3区;1区,是,否
ENERGY CONVERSION AND MANAGEMENT,工程技术 ,1区,ENERGY & FUELS;能源与燃料;2区;3区;2区;MECHANICS;力学;2区;3区;1区;THERMODYNAMICS;热力学;1区;4区;1区,是,否,工程技术 ,1区,ENERGY & FUELS;能源与燃料;2区;3区;2区;MECHANICS;力学;2区;3区;1区;THERMODYNAMICS;热力学;1区;4区;1区,是,否
ENERGY EDUCATION SCIENCE AND TECHNOLOGY PART A-ENERGY SCIENCE AND RESEARCH,
ENERGY EDUCATION SCIENCE AND TECHNOLOGY PART B-SOCIAL AND EDUCATIONAL STUDIES,
ENERGY EXPLORATION & EXPLOITATION,LetPub助力作者发表在《ENERG EXPLOR EXPLOIT》上的文章案例，致谢部分提及LetPub---1篇,工程技术 ,4区,ENERGY & FUELS;能源与燃料;2区;2区;4区,否,否,工程技术 ,4区,ENERGY & FUELS;能源与燃料;2区;2区;4区,否,否
ENERGY JOURNAL,工程技术 ,3区,ENERGY & FUELS;能源与燃料;4区;2区;4区,否,否,工程技术 ,3区,ENERGY & FUELS;能源与燃料;4区;2区;4区,否,否
ENERGY POLICY,管理科学 ,1区,ENERGY & FUELS;能源与燃料;4区;1区;3区;ENVIRONMENTAL SCIENCES;环境科学;2区;1区;2区,是,否,经济学 ,2区,ENERGY & FUELS;能源与燃料;4区;1区;3区;ENVIRONMENTAL SCIENCES;环境科学;2区;1区;2区,是,否
Energy Sources Part A-Recovery Utilization and Environmental Effects,工程技术 ,4区,ENERGY & FUELS;能源与燃料;3区;3区;4区;ENGINEERING& CHEMICAL;工程：化工;3区;2区;4区,否,否,工程技术 ,4区,ENERGY & FUELS;能源与燃料;3区;3区;4区;ENGINEERING& CHEMICAL;工程：化工;3区;2区;4区,否,否
Energy Sources Part B-Economics Planning and Policy,工程技术 ,4区,ENERGY & FUELS;能源与燃料;2区;3区;4区,否,否,工程技术 ,4区,ENERGY & FUELS;能源与燃料;2区;3区;4区,否,否
,
ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,医学 ,4区,INFECTIOUS DISEASES;传染病学;3区;4区;4区;MICROBIOLOGY;微生物学;4区;2区;4区,否,否,医学 ,4区,INFECTIOUS DISEASES;传染病学;3区;4区;4区;MICROBIOLOGY;微生物学;4区;2区;4区,否,否
,
Engenharia Sanitaria e Ambiental,环境科学与生态学 ,4区,WATER RESOURCES;水资源;2区;1区;4区,否,否,环境科学与生态学 ,4区,WATER RESOURCES;水资源;2区;1区;4区,否,否
ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,工程技术 ,3区,ENGINEERING& MULTIDISCIPLINARY;工程：综合;2区;3区;3区;MATHEMATICS& INTERDISCIPLINARY APPLICATIONS;数学跨学科应用;2区;4区;3区,否,否,工程技术 ,3区,ENGINEERING& MULTIDISCIPLINARY;工程：综合;2区;3区;3区;MATHEMATICS& INTERDISCIPLINARY APPLICATIONS;数学跨学科应用;2区;4区;3区,否,否
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,工程技术 ,2区,AUTOMATION & CONTROL SYSTEMS;自动化与控制系统;3区;4区;3区;COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;1区;1区;3区;ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;4区;2区;3区;ENGINEERING& MULTIDISCIPLINARY;工程：综合;1区;2区;2区,否,否,计算机科学 ,2区,AUTOMATION & CONTROL SYSTEMS;自动化与控制系统;3区;4区;3区;COMPUTER SCIENCE& ARTIFICIAL INTELLIGENCE;计算机：人工智能;1区;1区;3区;ENGINEERING& ELECTRICAL & ELECTRONIC;工程：电子与电气;4区;2区;3区;ENGINEERING& MULTIDISCIPLINARY;工程：综合;1区;2区;2区,否,否
Engineering Applications of Computational Fluid Mechanics,工程技术 ,2区,ENGINEERING& MECHANICAL;工程：机械;2区;3区;3区;ENGINEERING& MULTIDISCIPLINARY;工程：综合;3区;3区;2区;MECHANICS;力学;4区;4区;3区,否,否,工程技术 ,2区,ENGINEERING& MECHANICAL;工程：机械;2区;3区;3区;ENGINEERING& MULTIDISCIPLINARY;工程：综合;3区;3区;2区;MECHANICS;力学;4区;4区;3区,否,否
ENGINEERING COMPUTATIONS,工程技术 ,4区,COMPUTER SCIENCE& INTERDISCIPLINARY APPLICATIONS;计算机：跨学科应用;2区;3区;4区;ENGINEERING& MULTIDISCIPLINARY;工程：综合;4区;1区;4区;MATHEMATICS& INTERDISCIPLINARY APPLICATIONS;数学跨学科应用;3区;4区;4区;MECHANICS;力学;1区;2区;4区,否,否,工程技术 ,4区,COMPUTER SCIENCE& INTERDISCIPLINARY APPLICATIONS;计算机：跨学科应用;2区;3区;4区;ENGINEERING& MULTIDISCIPLINARY;工程：综合;4区;1区;4区;MATHEMATICS& INTERDISCIPLINARY APPLICATIONS;数学跨学科应用;3区;4区;4区;MECHANICS;力学;1区;2区;4区,否,否
ENGINEERING FAILURE ANALYSIS,工程技术 ,3区,ENGINEERING& MECHANICAL;工程：机械;4区;2区;3区;MATERIALS SCIENCE& CHARACTERIZATION & TESTING;材料科学：表征与测试;4区;1区;3区,否,否,工程技术 ,3区,ENGINEERING& MECHANICAL;工程：机械;4区;2区;3区;MATERIALS SCIENCE& CHARACTERIZATION & TESTING;材料科学：表征与测试;4区;1区;3区,否,否
ENGINEERING FRACTURE MECHANICS,工程技术 ,3区,MECHANICS;力学;2区;3区;2区,否,否,工程技术 ,2区,MECHANICS;力学;2区;3区;2区,否,否
ENGINEERING GEOLOGY,经LetPub修改润色后发表在《ENG GEOL》上，作者来信感谢的范例---1篇,LetPub助力作者发表在《ENG GEOL》上的文章案例，致谢部分提及LetPub---2篇,地学 ,2区,ENGINEERING& GEOLOGICAL;工程：地质;4区;2区;2区;GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;1区;1区;2区,否,否,地球科学 ,1区,ENGINEERING& GEOLOGICAL;工程：地质;4区;2区;2区;GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;1区;1区;2区,是,否
ENGINEERING IN LIFE SCIENCES,工程技术 ,3区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;2区;4区;4区,否,否,工程技术 ,4区,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;生物工程与应用微生物;2区;4区;4区,否,否
ENGINEERING INTELLIGENT SYSTEMS FOR ELECTRICAL ENGINEERING AND COMMUNICATIONS,
ENGINEERING JOURNAL-AMERICAN INSTITUTE OF STEEL CONSTRUCTION,工程技术 ,4区,CONSTRUCTION & BUILDING TECHNOLOGY;结构与建筑技术;4区;3区;4区;ENGINEERING& CIVIL;工程：土木;3区;1区;4区,否,否,工程技术 ,4区,CONSTRUCTION & BUILDING TECHNOLOGY;结构与建筑技术;4区;3区;4区;ENGINEERING& CIVIL;工程：土木;3区;1区;4区,否,否
ENGINEERING OPTIMIZATION,工程技术 ,4区,ENGINEERING& MULTIDISCIPLINARY;工程：综合;1区;2区;3区;OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;3区;4区;3区,否,否,工程技术 ,3区,ENGINEERING& MULTIDISCIPLINARY;工程：综合;1区;2区;3区;OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;3区;4区;3区,否,否
ENGINEERING STRUCTURES,工程技术 ,3区,ENGINEERING& CIVIL;工程：土木;2区;2区;2区,否,否,工程技术 ,2区,ENGINEERING& CIVIL;工程：土木;2区;2区;2区,否,否
ENGINEERING WITH COMPUTERS,工程技术 ,3区,COMPUTER SCIENCE& INTERDISCIPLINARY APPLICATIONS;计算机：跨学科应用;4区;3区;3区;ENGINEERING& MECHANICAL;工程：机械;1区;2区;3区,否,否,工程技术 ,2区,COMPUTER SCIENCE& INTERDISCIPLINARY APPLICATIONS;计算机：跨学科应用;4区;3区;3区;ENGINEERING& MECHANICAL;工程：机械;1区;2区;3区,否,否
ENRICHING COMMUNICATIONS,
ENT-EAR NOSE & THROAT JOURNAL,医学 ,4区,OTORHINOLARYNGOLOGY;耳鼻喉科学;2区;4区;4区,否,否,医学 ,4区,OTORHINOLARYNGOLOGY;耳鼻喉科学;2区;4区;4区,否,否
Enterprise Information Systems,管理科学 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;2区;1区;4区,否,否,计算机科学 ,4区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;2区;1区;4区,否,否
ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,农林科学 ,3区,ENTOMOLOGY;昆虫学;4区;2区;3区,否,否,农林科学 ,2区,ENTOMOLOGY;昆虫学;4区;2区;3区,否,否
ENTOMOLOGIA GENERALIS,农林科学 ,3区,ENTOMOLOGY;昆虫学;1区;4区;3区,否,否,农林科学 ,3区,ENTOMOLOGY;昆虫学;1区;4区;3区,否,否
Entomologica Americana,农林科学 ,4区,ENTOMOLOGY;昆虫学;4区;2区;4区,否,否,农林科学 ,3区,ENTOMOLOGY;昆虫学;4区;2区;4区,否,否
ENTOMOLOGICA FENNICA,农林科学 ,4区,ENTOMOLOGY;昆虫学;1区;1区;4区,否,否,农林科学 ,4区,ENTOMOLOGY;昆虫学;1区;1区;4区,否,否
ENTOMOLOGICAL NEWS,农林科学 ,4区,ENTOMOLOGY;昆虫学;2区;1区;4区,否,否,农林科学 ,4区,ENTOMOLOGY;昆虫学;2区;1区;4区,否,否
ENTOMOLOGICAL SCIENCE,农林科学 ,4区,ENTOMOLOGY;昆虫学;1区;3区;3区,否,否,农林科学 ,3区,ENTOMOLOGY;昆虫学;1区;3区;3区,否,否
Entropy,经LetPub修改润色后发表在《ENTROPY-SWITZ》上，作者来信感谢的范例---1篇,物理 ,3区,PHYSICS& MULTIDISCIPLINARY;物理：综合;3区;4区;3区,否,否,物理与天体物理 ,3区,PHYSICS& MULTIDISCIPLINARY;物理：综合;3区;4区;3区,否,否
ENVIRONMENT,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;2区;4区;3区,否,否,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;2区;4区;3区,否,否
ENVIRONMENT INTERNATIONAL,环境科学与生态学 ,1区,ENVIRONMENTAL SCIENCES;环境科学;1区;4区;1区,是,否,环境科学与生态学 ,1区,ENVIRONMENTAL SCIENCES;环境科学;1区;4区;1区,是,否
Environment Protection Engineering,环境科学与生态学 ,4区,ENGINEERING& ENVIRONMENTAL;工程：环境;1区;1区;4区,否,否,环境科学与生态学 ,4区,ENGINEERING& ENVIRONMENTAL;工程：环境;1区;1区;4区,否,否
ENVIRONMENTAL & ENGINEERING GEOSCIENCE,地学 ,4区,ENGINEERING& ENVIRONMENTAL;工程：环境;4区;2区;4区;ENGINEERING& GEOLOGICAL;工程：地质;2区;3区;4区;GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;1区;4区;4区,否,否,地球科学 ,4区,ENGINEERING& ENVIRONMENTAL;工程：环境;4区;2区;4区;ENGINEERING& GEOLOGICAL;工程：地质;2区;3区;4区;GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;1区;4区;4区,否,否
ENVIRONMENTAL AND ECOLOGICAL STATISTICS,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;2区;3区;4区;MATHEMATICS& INTERDISCIPLINARY APPLICATIONS;数学跨学科应用;3区;2区;4区;STATISTICS & PROBABILITY;统计学与概率论;1区;2区;4区,否,否,环境科学与生态学 ,4区,ENVIRONMENTAL SCIENCES;环境科学;2区;3区;4区;MATHEMATICS& INTERDISCIPLINARY APPLICATIONS;数学跨学科应用;3区;2区;4区;STATISTICS & PROBABILITY;统计学与概率论;1区;2区;4区,否,否
ENVIRONMENTAL AND EXPERIMENTAL BOTANY,生物 ,2区,ENVIRONMENTAL SCIENCES;环境科学;2区;4区;2区;PLANT SCIENCES;植物科学;2区;2区;2区,否,否,生物学 ,2区,ENVIRONMENTAL SCIENCES;环境科学;2区;4区;2区;PLANT SCIENCES;植物科学;2区;2区;2区,否,否
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;2区;3区;3区;GENETICS & HEREDITY;遗传学;4区;2区;3区;TOXICOLOGY;毒理学;3区;1区;3区,否,否,环境科学与生态学 ,3区,ENVIRONMENTAL SCIENCES;环境科学;2区;3区;3区;GENETICS & HEREDITY;遗传学;4区;2区;3区;TOXICOLOGY;毒理学;3区;1区;3区,否,否
ENVIRONMENTAL BIOLOGY OF FISHES,环境科学与生态学 ,4区,ECOLOGY;生态学;2区;3区;4区;MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;2区;1区;4区,否,否,环境科学与生态学 ,4区,ECOLOGY;生态学;2区;3区;4区;MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;2区;1区;4区,否,否
Environmental Chemistry,环境科学与生态学 ,3区,CHEMISTRY& ANALYTICAL;分析化学;1区;1区;3区;ENVIRONMENTAL SCIENCES;环境科学;3区;1区;3区,否,否,环境科学与生态学 ,4区,CHEMISTRY& ANALYTICAL;分析化学;1区;1区;3区;ENVIRONMENTAL SCIENCES;环境科学;3区;1区;3区,否,否
Environmental Chemistry Letters,环境科学与生态学 ,2区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;2区;3区;ENGINEERING& ENVIRONMENTAL;工程：环境;1区;3区;3区;ENVIRONMENTAL SCIENCES;环境科学;1区;2区;3区,否,否,环境科学与生态学 ,3区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;2区;3区;ENGINEERING& ENVIRONMENTAL;工程：环境;1区;3区;3区;ENVIRONMENTAL SCIENCES;环境科学;1区;2区;3区,否,否
ENVIRONMENTAL CONSERVATION,环境科学与生态学 ,3区,BIODIVERSITY CONSERVATION;生物多样性保护;2区;4区;3区;ENVIRONMENTAL SCIENCES;环境科学;1区;3区;3区,否,否,环境科学与生态学 ,3区,BIODIVERSITY CONSERVATION;生物多样性保护;2区;4区;3区;ENVIRONMENTAL SCIENCES;环境科学;1区;3区;3区,否,否
